date,real
01/01/1946,20.22
01/02/1946,20.33
01/03/1946,20.11
01/04/1946,21.71
01/05/1946,21.59
01/06/1946,21.36
01/07/1946,20.18
01/08/1946,23.67
01/09/1946,23.44
01/10/1946,22.99
01/11/1946,22.45
01/12/1946,23.70
01/01/1947,23.70
01/02/1947,23.70
01/03/1947,23.27
01/04/1947,26.86
01/05/1947,26.86
01/06/1947,26.74
01/07/1947,26.49
01/08/1947,26.14
01/09/1947,25.57
01/10/1947,25.57
01/11/1947,28.19
01/12/1947,27.82
01/01/1948,34.11
01/02/1948,34.40
01/03/1948,34.55
01/04/1948,33.97
01/05/1948,33.82
01/06/1948,33.54
01/07/1948,33.13
01/08/1948,32.99
01/09/1948,32.99
01/10/1948,33.13
01/11/1948,33.40
01/12/1948,33.54
01/01/1949,33.68
01/02/1949,33.97
01/03/1949,33.97
01/04/1949,33.82
01/05/1949,33.97
01/06/1949,33.82
01/07/1949,34.11
01/08/1949,33.97
01/09/1949,33.82
01/10/1949,34.11
01/11/1949,33.97
01/12/1949,34.25
01/01/1950,34.40
01/02/1950,34.40
01/03/1950,34.25
01/04/1950,34.25
01/05/1950,34.11
01/06/1950,33.97
01/07/1950,33.54
01/08/1950,33.27
01/09/1950,33.13
01/10/1950,32.86
01/11/1950,32.73
01/12/1950,32.34
01/01/1951,31.82
01/02/1951,31.45
01/03/1951,31.33
01/04/1951,31.33
01/05/1951,31.21
01/06/1951,31.21
01/07/1951,31.21
01/08/1951,31.21
01/09/1951,30.97
01/10/1951,30.85
01/11/1951,30.62
01/12/1951,30.50
01/01/1952,30.50
01/02/1952,30.74
01/03/1952,30.74
01/04/1952,30.62
01/05/1952,30.62
01/06/1952,30.50
01/07/1952,30.28
01/08/1952,30.28
01/09/1952,30.28
01/10/1952,30.28
01/11/1952,30.28
01/12/1952,30.28
01/01/1953,30.39
01/02/1953,30.50
01/03/1953,30.39
01/04/1953,30.39
01/05/1953,30.28
01/06/1953,33.10
01/07/1953,33.10
01/08/1953,32.97
01/09/1953,32.97
01/10/1953,32.85
01/11/1953,32.97
01/12/1953,32.97
01/01/1954,32.97
01/02/1954,32.97
01/03/1954,32.97
01/04/1954,33.10
01/05/1954,32.97
01/06/1954,32.97
01/07/1954,32.97
01/08/1954,32.97
01/09/1954,33.10
01/10/1954,33.10
01/11/1954,33.10
01/12/1954,33.22
01/01/1955,33.22
01/02/1955,33.22
01/03/1955,33.22
01/04/1955,33.22
01/05/1955,33.22
01/06/1955,33.22
01/07/1955,33.10
01/08/1955,33.10
01/09/1955,32.97
01/10/1955,32.97
01/11/1955,32.97
01/12/1955,33.10
01/01/1956,33.10
01/02/1956,33.10
01/03/1956,33.10
01/04/1956,32.97
01/05/1956,32.85
01/06/1956,32.61
01/07/1956,32.37
01/08/1956,32.49
01/09/1956,32.37
01/10/1956,32.26
01/11/1956,32.26
01/12/1956,32.14
01/01/1957,32.14
01/02/1957,34.86
01/03/1957,34.73
01/04/1957,34.61
01/05/1957,34.49
01/06/1957,34.37
01/07/1957,34.12
01/08/1957,34.12
01/09/1957,34.12
01/10/1957,34.12
01/11/1957,34.00
01/12/1957,33.23
01/01/1958,33.76
01/02/1958,33.76
01/03/1958,33.53
01/04/1958,33.41
01/05/1958,33.41
01/06/1958,33.41
01/07/1958,33.30
01/08/1958,33.41
01/09/1958,33.41
01/10/1958,33.41
01/11/1958,32.54
01/12/1958,32.65
01/01/1959,32.54
01/02/1959,32.65
01/03/1959,32.33
01/04/1959,32.21
01/05/1959,32.21
01/06/1959,32.10
01/07/1959,31.99
01/08/1959,31.99
01/09/1959,31.88
01/10/1959,31.78
01/11/1959,31.78
01/12/1959,31.78
01/01/1960,31.88
01/02/1960,31.78
01/03/1960,31.78
01/04/1960,31.67
01/05/1960,31.67
01/06/1960,31.56
01/07/1960,31.56
01/08/1960,31.56
01/09/1960,31.56
01/10/1960,31.35
01/11/1960,31.35
01/12/1960,31.35
01/01/1961,31.35
01/02/1961,31.35
01/03/1961,31.35
01/04/1961,31.35
01/05/1961,31.35
01/06/1961,31.35
01/07/1961,31.14
01/08/1961,31.24
01/09/1961,31.14
01/10/1961,31.14
01/11/1961,31.14
01/12/1961,31.14
01/01/1962,31.14
01/02/1962,31.04
01/03/1962,31.04
01/04/1962,30.93
01/05/1962,30.93
01/06/1962,30.93
01/07/1962,30.83
01/08/1962,30.83
01/09/1962,30.73
01/10/1962,30.73
01/11/1962,30.73
01/12/1962,30.73
01/01/1963,30.73
01/02/1963,30.73
01/03/1963,30.63
01/04/1963,30.63
01/05/1963,30.63
01/06/1963,30.53
01/07/1963,30.43
01/08/1963,30.43
01/09/1963,30.43
01/10/1963,30.33
01/11/1963,30.33
01/12/1963,30.23
01/01/1964,30.23
01/02/1964,30.23
01/03/1964,30.23
01/04/1964,30.23
01/05/1964,30.23
01/06/1964,30.13
01/07/1964,29.53
01/08/1964,29.63
01/09/1964,29.53
01/10/1964,29.53
01/11/1964,29.44
01/12/1964,29.44
01/01/1965,29.44
01/02/1965,29.44
01/03/1965,29.34
01/04/1965,29.25
01/05/1965,29.25
01/06/1965,29.07
01/07/1965,29.07
01/08/1965,29.07
01/09/1965,29.07
01/10/1965,28.97
01/11/1965,28.97
01/12/1965,28.88
01/01/1966,28.88
01/02/1966,28.70
01/03/1966,28.61
01/04/1966,28.43
01/05/1966,28.43
01/06/1966,28.35
01/07/1966,28.26
01/08/1966,28.09
01/09/1966,28.57
01/10/1966,28.39
01/11/1966,28.39
01/12/1966,28.39
01/01/1967,28.39
01/02/1967,28.68
01/03/1967,28.60
01/04/1967,28.51
01/05/1967,28.42
01/06/1967,28.34
01/07/1967,28.25
01/08/1967,28.82
01/09/1967,28.74
01/10/1967,28.66
01/11/1967,28.57
01/12/1967,28.48
01/01/1968,28.32
01/02/1968,28.23
01/03/1968,28.15
01/04/1968,28.07
01/05/1968,27.99
01/06/1968,27.83
01/07/1968,27.67
01/08/1968,27.59
01/09/1968,27.51
01/10/1968,27.35
01/11/1968,27.28
01/12/1968,27.20
01/01/1969,27.12
01/02/1969,26.97
01/03/1969,28.32
01/04/1969,29.03
01/05/1969,28.95
01/06/1969,28.79
01/07/1969,28.63
01/08/1969,28.48
01/09/1969,28.40
01/10/1969,28.25
01/11/1969,28.10
01/12/1969,27.95
01/01/1970,27.88
01/02/1970,27.73
01/03/1970,27.58
01/04/1970,27.37
01/05/1970,27.30
01/06/1970,27.16
01/07/1970,26.70
01/08/1970,26.70
01/09/1970,26.56
01/10/1970,26.42
01/11/1970,26.29
01/12/1970,28.13
01/01/1971,28.13
01/02/1971,28.06
01/03/1971,28.00
01/04/1971,27.92
01/05/1971,27.79
01/06/1971,27.58
01/07/1971,27.51
01/08/1971,27.44
01/09/1971,27.44
01/10/1971,27.38
01/11/1971,27.38
01/12/1971,27.24
01/01/1972,27.24
01/02/1972,27.11
01/03/1972,27.05
01/04/1972,26.98
01/05/1972,26.92
01/06/1972,26.85
01/07/1972,26.72
01/08/1972,26.66
01/09/1972,26.60
01/10/1972,26.47
01/11/1972,26.41
01/12/1972,26.35
01/01/1973,26.29
01/02/1973,26.10
01/03/1973,25.86
01/04/1973,25.68
01/05/1973,25.51
01/06/1973,25.33
01/07/1973,25.28
01/08/1973,30.06
01/09/1973,29.99
01/10/1973,29.73
01/11/1973,29.54
01/12/1973,29.34
01/01/1974,68.24
01/02/1974,67.37
01/03/1974,66.52
01/04/1974,66.25
01/05/1974,65.43
01/06/1974,64.90
01/07/1974,64.37
01/08/1974,63.60
01/09/1974,62.84
01/10/1974,68.69
01/11/1974,68.17
01/12/1974,67.64
01/01/1975,67.37
01/02/1975,66.86
01/03/1975,66.61
01/04/1975,66.36
01/05/1975,65.98
01/06/1975,65.49
01/07/1975,64.76
01/08/1975,64.65
01/09/1975,64.29
01/10/1975,63.94
01/11/1975,63.48
01/12/1975,63.24
01/01/1976,63.13
01/02/1976,67.81
01/03/1976,68.09
01/04/1976,68.24
01/05/1976,67.75
01/06/1976,67.40
01/07/1976,67.04
